threshold;tpr;fpr;ks;n_good;n_default;interest_good;mean_loan_default;mean_ann_default;mean_term_default;r_monthly;interest_default;rejected_good;rejected_default;approved_good;approved_default
0.275752472679973;0.19592824027413827;0.028911353858683143;0.16701688641545512;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1633;972;54850;3989
0.2756717258455373;0.19633138480145132;0.028911353858683143;0.16742003094276817;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1633;974;54850;3987
0.2755978406450214;0.19633138480145132;0.02892905830072765;0.16740232650072367;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1634;974;54849;3987
0.27551459338981715;0.19653295706510784;0.02892905830072765;0.1676038987643802;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1634;975;54849;3986
0.2754364518543161;0.19653295706510784;0.02894676274277216;0.16758619432233568;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1635;975;54848;3986
0.27542206521669155;0.1969361015924209;0.02894676274277216;0.16798933884964873;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1635;977;54848;3984
0.27538216876162486;0.1969361015924209;0.02896446718481667;0.1679716344076042;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1636;977;54847;3984
0.27534146158860406;0.19713767385607742;0.02896446718481667;0.16817320667126073;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1636;978;54847;3983
0.2753323592967215;0.19713767385607742;0.02898217162686118;0.16815550222921624;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1637;978;54846;3983
0.2753101142600664;0.1973392461197339;0.02898217162686118;0.16835707449287274;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1637;979;54846;3982
0.2748632708210961;0.1973392461197339;0.029159216047306268;0.16818003007242766;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1647;979;54836;3982
0.2748497138412207;0.19754081838339044;0.029159216047306268;0.16838160233608418;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1647;980;54836;3981
0.2747894279147645;0.19754081838339044;0.029212329373439795;0.16832848900995065;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1650;980;54833;3981
0.2746765142823695;0.19774239064704696;0.029212329373439795;0.16853006127360717;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1650;981;54833;3979
0.2745805852067922;0.19774239064704696;0.029230033815484304;0.16851235683156265;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1651;981;54832;3979
0.27456698537684704;0.19794396291070349;0.029230033815484304;0.16871392909521918;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1651;982;54832;3979
0.27454611569956505;0.19794396291070349;0.029247738257528813;0.1686962246531747;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1652;982;54831;3979
0.27447888280933275;0.19814553517436;0.029247738257528813;0.1688977969168312;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1652;983;54831;3978
0.2744333663790763;0.19814553517436;0.029265442699573322;0.1688800924747867;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1653;983;54830;3978
